 3,81702224 -1,1447535
 3,77836529 -1,1039314
 3,74130495 -1,1945858
 3,70662557 -1,3105457
 3,67519204 -1,3354432
 3,63984059 -1,3270750
 3,60559875 -1,3960679
 3,57262873 -1,5295993
 3,54493659 -1,6719155
 3,51842356 -1,7078475
 3,49118840 -1,6957261
 3,46249791 -1,7325401
 3,43581093 -1,7970786
 3,40912345 -1,8950591
 3,38620193 -1,9401795
 3,36044293 -1,9249120
 3,33557762 -1,9556836
 3,31007823 -2,0541237
 3,28887026 -2,1442748
 3,26635993 -2,1633230
 3,24505533 -2,2025438
 3,22328695 -2,2644192
 3,20373077 -2,3079042
 3,18286833 -2,3079042
 3,16249726 -2,3533666
 3,14265721 -2,4510051
 3,12533243 -2,5036488
 3,10671357 -2,5036489
 3,08874901 -2,5310479
 3,07045582 -2,6180592
 3,05495163 -2,6488308
 3,03708463 -2,6180592
 3,01997191 -2,6488308
 3,00256125 -2,7472709
 2,98818842 -2,7823623
 2,97134355 -2,7823623
 2,95651156 -2,8956909
 2,94262245 -3,0235243
 2,93089898 -3,0235243
 2,91664696 -2,8187299
 2,89854146 -2,7823622
 2,88258041 -2,8956910
 2,86761753 -2,9790726
 2,85370207 -3,0235243
 2,83959022 -3,0700443
 2,82658614 -3,1701277
 2,81473610 -3,1188345
 2,80005938 -3,0700443
 2,78652738 -3,1701278
 2,77419000 -3,2813534
 2,76309419 -3,2813534
 2,75046244 -3,2241950
 2,73766909 -3,2241950
 2,72470995 -3,1701277
 2,71011115 -3,2813534
 2,69976368 -3,6296601
 2,69230652 -3,9173422
 2,68630050 -3,8119816
 2,67722328 -3,3419780
 2,66190905 -3,2241950
 2,64948653 -3,2813534
